Timestamp,User_Message,Bot_Answer,Source,Score,Matched_Question
2026-06-17 05:19:58,همین یه طبقه س؟,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback_threshold,0.0,
2026-06-17 10:19:26,سلام. میتونی بیشتر در مورد نمایشگاه منو راهنمایی کنی؟ برای چه گروهی از مخاطبان مناسبه؟,بله. تیم اجرایی نمایشگاه می‌تواند درباره نوع مشارکت، انتخاب فضای مناسب و خدمات مورد نیاز، راهنمایی‌های لازم را ارائه کند.,rag,0.5115568700386107,آیا امکان دریافت مشاوره برای انتخاب نوع حضور در نمایشگاه وجود دارد؟
2026-06-17 10:27:38,از کجا میتونم توی رویداد شرکت کنم؟,برای شرکت در رویدادهای جانبی می‌توانید با مراجعه به  وب سایت نمایشگاه ایران‌فارما و پلتفرم نمایشگاه به نشانی IPHEXPO.COM در آن‌ها ثبت‌نام کنید.,rag,0.6443625558506358,چگونه در رویدادهای جانبی شرکت کنم؟
2026-06-17 10:28:27,چطور میتونم توی رویداد شرکت کنم؟ هزینه‌ای داره؟,برای شرکت در رویدادهای جانبی می‌توانید با مراجعه به  وب سایت نمایشگاه ایران‌فارما و پلتفرم نمایشگاه به نشانی IPHEXPO.COM در آن‌ها ثبت‌نام کنید.,rag,0.5916919078582372,چگونه در رویدادهای جانبی شرکت کنم؟
2026-06-17 10:38:18,محل شارژ گوشی کجاست,این نمایشگاه در مصلای بزرگ تهران برگزار می‌شود.,rag,0.5807131846745809,محل برگزاری کجاست؟
2026-06-17 10:38:29,چطوری میتونم توی رویداد شرکت کنم؟ هزینه‌ای داره؟,برای شرکت در رویدادهای جانبی می‌توانید با مراجعه به  وب سایت نمایشگاه ایران‌فارما و پلتفرم نمایشگاه به نشانی IPHEXPO.COM در آن‌ها ثبت‌نام کنید.,rag,0.5858970167264657,چگونه در رویدادهای جانبی شرکت کنم؟
2026-06-17 10:38:56,نمایشگاه چند طبقه دارد,خیر، اسپانسرشیپ نمایشگاه با شرایط واحد و مشخص برای تمامی حامیان نمایشگاه قابل اجرا است. برای اطلاع از خدمات تبلیغاتی و ساختن پکیج مد نظر خود با دبیرخانه تماس بگیرید.,rag,0.5885333820489738,آیا اسپانسرشیپ نمایشگاه سطح های مختلفی دارد؟
2026-06-17 10:39:19,هزینه‌اش چطوره؟,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback,0.0,
2026-06-17 10:39:34,محل توزیع کتاب نمایشگاه کجاست,این نمایشگاه در مصلای بزرگ تهران برگزار می‌شود.,rag,0.6045797987606214,محل برگزاری کجاست؟
2026-06-17 10:40:08,راهنمای غرفه ها رو  از کجا میتونم بگیرم,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback,0.0,
2026-06-17 10:40:14,سوال قبلی من چی بود؟,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback,0.0,
2026-06-17 10:40:56,کافه نمایشگاه کجاست,کافه‌های نمایشگاه در حیاط یاس، انتهای شبستان مستقر است.,rag,0.7975812673568725,کافی‌شاپ کجاست؟
2026-06-17 10:43:58,چطوری میتونیم در کتاب نمایشگاه تبلیغات بدیم؟,خیر، هزینه جداگانه دارد.,rag,0.6233889898621893,آیا درج آگهی در کتاب نمایشگاه رایگان است؟
2026-06-17 10:45:03,تبلیغات نمایشگاه از چه زمانی شروع می شود,بله، شرکت‌ها از طریق وب‌سایت، کاتالوگ و کتاب نمایشگاه معرفی می‌شوند.,rag,0.5838665377009998,آیا نمایشگاه از غرفه‌داران حمایت تبلیغاتی می‌کند؟
2026-06-17 10:57:17,سوال قبلی من چی بود؟,آخرین سوال شما این بود: «نمایشگاه کجاست؟»,meta,1.0,
2026-06-17 11:05:46,محل توزیع کتاب نمایشگاه کجاست,این نمایشگاه در مصلای بزرگ تهران برگزار می‌شود.,rag,0.6045797987606214,محل برگزاری کجاست؟
2026-06-17 11:05:58,محل توزیع کتاب نمایشگاه کجاست,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback,0.0,
2026-06-17 11:07:00,نمایشگاه چند طبقه دارد,این سؤال خارج از حوزه نمایشگاه ایران‌فارما است یا اطلاعات آن در پایگاه دانش ثبت نشده است.,fallback,0.0,
